tender_id,source,title,department,budget,national_id_format,cross_source_overlap,other_sources,announcement_url
68039042393,PEA,งานจ้างปรับปรุงหลังคาอาคาร 10 และงานต่อเติมรั้วโครงตาข่ายพร้อมหลังคาระหว่างอาคาร,,,True,False,,https://bidding.pea.co.th/procurement/6a4bc33b-6429-4067-a158-88ee8e43e85c
68059509790,PEA,จัดซื้อพัสดุขาดแคลนงานเปลี่ยนทดแทนอุปกรณ์ที่ชำรุดเสื่อมสภาพในระบบไฟฟ้า (HB.2000),,11363614.0,True,False,,https://bidding.pea.co.th/procurement/43261187-fda7-4051-829f-232322e5178c
68069452018,PEA,ประกวดราคาซื้อการจัดซื้อวัสดุก่อสร้าง งานก่อสร้างสายส่งระบบ 115 เควี ให้ บริษัท ,,4220017.34,True,False,,https://bidding.pea.co.th/procurement/e8003182-604b-4306-a5bb-beb5f3b8cfbc
67069045279,PEA,จัดซื้อชุดเชื่อมสายแรงสูง (31 รายการ) จำนวน 7 ชุด,,2996000.0,True,False,,https://bidding.pea.co.th/procurement/4a0d6681-248e-4351-9ac8-be5a9db0f4d5
68069514285,PEA,จัดซื้อพัสดุขาดแคลน สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75,,1019752.8,True,False,,https://bidding.pea.co.th/procurement/308182ce-5edb-4bbf-8390-319322d4429e
68039416307,PEA,"งานจัดซื้อปั๊มน้ำขับเคลื่อนด้วยเครื่องยนต์ดีเซล ๖ สูบ ๔ จังหวะ ติดตั้งบนฐาน
จำน",,1900000.0,True,False,,https://bidding.pea.co.th/procurement/97f78002-38a8-4845-866a-d50a53136132
68069466533,PEA,ประกวดราคาซื้อผลิตภัณฑ์-วัสดุอุปกรณ์เข้างานก่อสร้างขยายเขตระบบจำหน่ายไฟฟ้า งาน บ,,,True,False,,https://bidding.pea.co.th/procurement/c59db8a3-cfb6-49f0-8ea5-da0cd795a356
68069189639,PEA,จัดซื้อชุดเครื่องมือสำหรับงานติดตั้งอุปกรณ์ในสถานีไฟฟ้า (จำนวน 4 รายการ) จำนวน 1,,3210000.0,True,False,,https://bidding.pea.co.th/procurement/887a9cc7-4a8c-470e-983e-d1543898f6e5
68059193892,PEA,ประกวดราคาซื้อPOLE 12.20 M. ตามแผนจัดหาประจำปี 2568 งบโครงการต่างๆ เลขที่ 68HAH0,,11175936.0,True,False,,https://bidding.pea.co.th/procurement/9a776c40-d166-4ff9-9f3d-7605baacaa32
68029198900,PEA,ประกวดราคาจ้างก่อสร้างอาคารสำนักงานพร้อมศูนย์บริการลูกค้า อาคารอยู่เวรแก้กระแสไฟ,,24118228.0,True,False,,https://bidding.pea.co.th/procurement/c6db9338-28d5-4397-bb9c-10187ed8fdaf
68069237015,PEA,จัดจ้างทำสายอลูมิเนียมแกนเหล็ก ขนาด 50/8 ตร.มม. จำนวน 465 กม. เลขที่ กจพ2-สฟ-018,,3134565.0,True,False,,https://bidding.pea.co.th/procurement/82a0482c-3d12-47e6-b2c8-b1d1a5a5e5f1
68039452730,PEA,ประกวดราคาซื้อเครื่องมือตรวจสอบความเที่ยงตรงของมิเตอร์ (Modular Three Phase Port,,2033000.0,True,False,,https://bidding.pea.co.th/procurement/f00f7fa9-937e-4067-ac9e-ec643985680b
69069020906,PWA,งานย้ายแนวท่อ หลบการก่อสร้าง ถนนทางหลวงหมายเลข 3144 ตอนควบคุม 0100 ตอนตลาดหนองมน,,1011150.0,True,False,,https://eprocurement.pwa.co.th/report/conclude-type-1
69069176509,PTT,จ้างจัดงานเกษียณอายุพนักงาน ปตท. ประจำปี 2569,,,True,False,,https://procurement.pttplc.com/th/award/index
69069353161,PTT,จ้างจัดกิจกรรมส่งเสริมพฤติกรรมด้าน GRC,,,True,False,,https://procurement.pttplc.com/th/award/index
69069358953,PTT,งานเช่ารถยนต์เพื่อความต่อเนื่องในการใช้งาน จำนวน 7 คัน,,,True,False,,https://procurement.pttplc.com/th/award/index
69049442332,PTT,งานจัดซื้อเครื่องชงกาแฟ สำหรับอาคาร GPCC ชั้น 2,,,True,False,,https://procurement.pttplc.com/th/award/index
69069266992,PTT,จ้างประชาสัมพันธ์ ปตท.ผ่าน บริษัท สว่างดี มีเดีย จำกัด,,,True,False,,https://procurement.pttplc.com/th/award/index
69049197595,PTT,จ้างบำรุงรักษาป่าปีที่ 1-3 แปลงปลูกป่า PTT-N-3-67 เนื้อที่ 500 ไร่ ตำบลทุ่งแค้ว ,,,True,False,,https://procurement.pttplc.com/th/award/index
